onset	duration	event_type	trial_count	old_wealth	new_wealth	gFactIncr
435.996	2.37	ITI_onset	46	n/a	n/a	n/a
438.366	0.38900000000001	Response_window_onset	47	3461	n/a	n/a
438.755	3.29199999999992	Response	47	n/a	n/a	n/a
442.047	1.03500000000008	Stimulus_onset	47	n/a	n/a	428
443.082	1.5	New_wealth_onset	47	n/a	3889	n/a
444.582	3.548	ITI_onset	47	n/a	n/a	n/a
448.13	0.362999999999943	Response_window_onset	48	3889	n/a	n/a
448.493	3.34199999999998	Response	48	n/a	n/a	n/a
451.835	2.88900000000001	Stimulus_onset	48	n/a	n/a	214
454.724	1.5	New_wealth_onset	48	n/a	4103	n/a
456.224	3.89999999999998	ITI_onset	48	n/a	n/a	n/a
460.124	0.463000000000079	Response_window_onset	49	4103	n/a	n/a
460.587	3.15800000000002	Response	49	n/a	n/a	n/a
463.745	2.73899999999992	Stimulus_onset	49	n/a	n/a	0
466.484	1.5	New_wealth_onset	49	n/a	4103	n/a
467.984	3.43100000000004	ITI_onset	49	n/a	n/a	n/a
471.415	0.364000000000033	Response_window_onset	50	4103	n/a	n/a
471.779	3.35799999999995	Response	50	n/a	n/a	n/a
475.137	2.17100000000005	Stimulus_onset	50	n/a	n/a	-428
477.308	1.5	New_wealth_onset	50	n/a	3675	n/a
478.808	3.59699999999998	ITI_onset	50	n/a	n/a	n/a
482.405	0.447999999999979	Response_window_onset	51	3675	n/a	n/a
482.853	3.19100000000003	Response	51	n/a	n/a	n/a
486.044	2.82299999999998	Stimulus_onset	51	n/a	n/a	-321
488.867	1.5	New_wealth_onset	51	n/a	3354	n/a
490.367	3.81899999999996	ITI_onset	51	n/a	n/a	n/a
494.186	0.442999999999984	Response_window_onset	52	3354	n/a	n/a
494.629	3.19100000000003	Response	52	n/a	n/a	n/a
497.82	0.985000000000014	Stimulus_onset	52	n/a	n/a	-214
498.805	1.5	New_wealth_onset	52	n/a	3140	n/a
500.305	2.48599999999999	ITI_onset	52	n/a	n/a	n/a
502.791	0.423999999999978	Response_window_onset	53	3140	n/a	n/a
503.215	3.22500000000002	Response	53	n/a	n/a	n/a
506.44	1.56900000000007	Stimulus_onset	53	n/a	n/a	-107
508.009	1.5	New_wealth_onset	53	n/a	3033	n/a
509.509	1.5569999999999	ITI_onset	53	n/a	n/a	n/a
511.066	0.384000000000015	Response_window_onset	54	3033	n/a	n/a
511.45	3.30799999999999	Response	54	n/a	n/a	n/a
514.758	1.31900000000007	Stimulus_onset	54	n/a	n/a	-214
516.077	1.5	New_wealth_onset	54	n/a	2819	n/a
517.577	1.84699999999998	ITI_onset	54	n/a	n/a	n/a
519.424	0.444999999999936	Response_window_onset	55	2819	n/a	n/a
519.869	3.19100000000003	Response	55	n/a	n/a	n/a
523.06	2.43799999999999	Stimulus_onset	55	n/a	n/a	-214
525.498	1.5	New_wealth_onset	55	n/a	2605	n/a
526.998	3.51400000000001	ITI_onset	55	n/a	n/a	n/a
530.512	0.398000000000025	Response_window_onset	56	2605	n/a	n/a
530.91	3.29099999999994	Response	56	n/a	n/a	n/a
534.201	2.95600000000002	Stimulus_onset	56	n/a	n/a	321
537.157	1.5	New_wealth_onset	56	n/a	2926	n/a
538.657	3.91000000000008	ITI_onset	56	n/a	n/a	n/a
542.567	0.352999999999952	Response_window_onset	57	2926	n/a	n/a
542.92	3.375	Response	57	n/a	n/a	n/a
546.295	2.80600000000004	Stimulus_onset	57	n/a	n/a	107
549.101	1.5	New_wealth_onset	57	n/a	3033	n/a
550.601	3.53499999999997	ITI_onset	57	n/a	n/a	n/a
554.136	0.360000000000014	Response_window_onset	58	3033	n/a	n/a
554.496	3.35799999999995	Response	58	n/a	n/a	n/a
557.854	1.98700000000008	Stimulus_onset	58	n/a	n/a	-214
559.841	1.5	New_wealth_onset	58	n/a	2819	n/a
561.341	1.91099999999994	ITI_onset	58	n/a	n/a	n/a
563.252	0.498000000000047	Response_window_onset	59	2819	n/a	n/a
563.75	3.09100000000001	Response	59	n/a	n/a	n/a
566.841	1.803	Stimulus_onset	59	n/a	n/a	0
568.644	1.5	New_wealth_onset	59	n/a	2819	n/a
570.144	3.98299999999995	ITI_onset	59	n/a	n/a	n/a
574.127	0.51400000000001	Response_window_onset	60	2819	n/a	n/a
574.641	3.05700000000002	Response	60	n/a	n/a	n/a
577.698	1.202	Stimulus_onset	60	n/a	n/a	-321
578.9	1.5	New_wealth_onset	60	n/a	2498	n/a
580.4	2.99299999999994	ITI_onset	60	n/a	n/a	n/a
583.393	0.485000000000014	Response_window_onset	61	2498	n/a	n/a
583.878	3.10700000000008	Response	61	n/a	n/a	n/a
586.985	2.02099999999996	Stimulus_onset	61	n/a	n/a	107
589.006	1.5	New_wealth_onset	61	n/a	2605	n/a
590.506	2.84699999999998	ITI_onset	61	n/a	n/a	n/a
593.353	0.430000000000064	Response_window_onset	62	2605	n/a	n/a
